mes,ano,numerodias,alturamediaanterior,mstotalanterior,mstotal,tmin,dptmin,vartmin,tmed,dptmed,vartmed,tmax,dptmax,vartmax,umidade,dpumidade,varumidade,velocidadevento,dpvelocidadevento,varvelovidadevento,radiacaosolar,dpradiacaosolar,varradiacaosolar,chuva,dpchuva,varchuva,somatermica,dpsomatermica,varsomatermica,def,dpdef,vardef,exc,dpexc,varexc,TA
10,2016,44,27.39,3521.78,6215.68,11.03,4.29,18.40,15.93,3.04,9.23,21.91,3.23,10.45,75.42,9.13,83.37,3.76,1.27,1.61,853.90,7.29,53.11,136.40,8.14,66.27,347.15,2.54,6.44,44.09,0.93,0.87,55.84,5.09,25.92,61.23
11,2016,28,29.17,4581.52,5658.12,12.84,4.02,16.18,18.72,3.64,13.28,25.13,3.94,15.54,66.71,10.32,106.54,3.56,1.08,1.16,730.80,8.36,69.92,92.80,10.03,100.51,260.50,3.57,12.78,40.67,1.05,1.10,32.69,5.96,35.50,38.45
1,2017,32,25.39,3121.07,4733.82,18.65,2.63,6.90,23.48,1.90,3.62,29.41,2.32,5.38,77.12,5.62,31.59,3.39,0.79,0.62,787.40,7.14,50.97,189.20,10.81,116.96,463.05,2.11,4.45,23.57,0.79,0.62,81.20,7.60,57.83,50.40
3,2017,35,46.08,5145.41,6414.98,19.16,2.69,7.24,23.57,2.10,4.41,29.37,2.45,6.00,78.82,5.31,28.24,2.98,0.91,0.83,768.70,6.27,39.34,176.60,13.09,171.29,513.45,2.30,5.29,40.04,1.08,1.16,51.48,8.34,69.61,36.27
4,2017,43,39.95,5671.10,6414.98,15.03,3.29,10.83,19.74,2.45,6.00,25.70,2.77,7.69,76.82,7.07,50.05,3.48,1.06,1.13,793.00,6.79,46.14,242.80,20.90,436.93,455.95,2.63,6.93,34.19,0.70,0.49,159.88,14.66,215.06,17.30
5,2017,31,34.93,5671.10,6414.98,12.02,3.70,13.66,16.27,2.49,6.22,21.62,3.02,9.15,78.99,9.86,97.26,3.27,1.22,1.50,385.00,5.49,30.09,152.60,17.21,296.13,275.25,3.01,9.08,9.45,0.26,0.07,104.10,13.56,183.82,24.00
6,2017,38,26.60,5671.10,5069.20,10.56,4.13,17.08,14.19,3.60,12.99,19.23,4.32,18.66,83.33,7.84,61.47,3.88,1.37,1.88,344.50,4.31,18.61,195.80,14.09,198.57,305.05,3.41,11.65,1.35,0.08,0.01,176.72,13.41,179.94,0.00
7,2017,30,22.51,3207.76,2372.33,10.45,5.24,27.50,14.51,4.59,21.04,20.55,4.64,21.57,75.49,10.49,110.12,4.02,1.50,2.25,331.80,4.14,17.17,73.00,7.23,52.31,263.35,3.45,11.88,4.95,0.17,0.03,35.22,4.47,19.94,0.00
9,2017,40,23.36,2060.49,2130.80,11.64,4.85,23.54,16.47,4.27,18.25,22.64,4.80,23.02,75.35,9.43,88.87,4.12,1.51,2.29,551.60,5.59,31.26,174.40,10.01,100.30,413.65,4.33,18.73,17.57,0.54,0.29,117.95,7.56,57.21,1.76
10,2017,28,25.28,3418.21,2306.23,13.27,2.96,8.78,17.14,3.07,9.45,22.36,4.23,17.89,82.87,6.93,48.05,3.77,1.28,1.63,381.30,6.82,46.54,251.00,18.80,353.31,307.50,3.38,11.46,5.07,0.24,0.06,161.57,16.09,258.91,0.00
11,2017,42,24.31,5671.10,6414.98,13.13,3.10,9.61,19.32,3.17,10.08,23.59,3.50,12.25,66.13,15.05,226.41,4.06,1.46,2.12,943.69,8.63,74.52,178.40,9.11,83.05,359.55,2.75,7.54,60.22,1.58,2.48,100.71,6.82,46.50,17.71
12,2017,28,32.60,5671.10,4937.16,14.86,3.63,13.20,22.44,3.96,15.71,26.59,4.50,20.23,55.98,15.47,239.41,4.14,1.59,2.54,766.95,8.55,73.09,16.20,2.10,4.41,311.00,3.55,12.62,150.62,2.28,5.22,0.00,0.00,0.00,0.00
1,2018,35,22.99,5118.79,4259.42,18.15,3.13,9.78,26.26,3.20,10.24,30.47,3.57,12.72,52.97,13.29,176.66,3.91,1.18,1.40,987.31,7.05,49.71,60.60,6.17,38.10,515.15,2.89,8.33,194.25,2.50,6.26,0.00,0.00,0.00,0.00
2,2018,35,14.58,2343.38,2799.02,18.61,2.45,6.01,26.07,2.86,8.18,30.41,3.30,10.91,55.22,12.77,162.97,4.00,0.93,0.87,924.03,6.84,46.78,39.40,3.76,14.15,522.30,2.56,6.55,200.26,2.24,5.01,0.00,0.00,0.00,13.02
3,2018,32,16.20,2290.25,6266.00,15.98,3.42,11.68,24.02,2.83,7.98,28.32,3.15,9.93,57.21,8.75,76.58,3.39,1.02,1.05,744.76,5.23,27.30,57.60,5.17,26.72,400.85,2.88,8.27,122.57,1.79,3.22,0.00,0.00,0.00,124.24
